painting,paintingLabel,depicted,depictedLabel,common,inception,countryLabel,iso
http://www.wikidata.org/entity/Q81723909,Still Life with Lobster on a White Tablecloth,http://www.wikidata.org/entity/Q32489,knife,,1853-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q84243228,Still Life of Flowers and Fruit,http://www.wikidata.org/entity/Q506,flower,,1640-01-01T00:00:00Z,Belgium,BEL
http://www.wikidata.org/entity/Q92389267,Memory of the Summer,http://www.wikidata.org/entity/Q8074,cloud,,1971-01-01T00:00:00Z,Finland,FIN
http://www.wikidata.org/entity/Q91932627,Lily and Greenhouse Plants,http://www.wikidata.org/entity/Q506,flower,,1864-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q82836132,Still Life with Cup and Bowl of Fruit,http://www.wikidata.org/entity/Q3314483,fruit,,1887-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q88219194,A Dead Bittern,http://www.wikidata.org/entity/Q11364328,bittern,,1848-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q90735820,Flower Piece,http://www.wikidata.org/entity/Q506,flower,,1690-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q88900285,Still Life with Fruit and Flowers,http://www.wikidata.org/entity/Q506,flower,,1866-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q91350247,Still Life: Mixed Flowers,http://www.wikidata.org/entity/Q506,flower,,,France,FRA
http://www.wikidata.org/entity/Q91350324,Still Life of Flowers,http://www.wikidata.org/entity/Q506,flower,,,France,FRA
http://www.wikidata.org/entity/Q89373099,Bouquet of Flowers in a Glass Vase with Butterflies,http://www.wikidata.org/entity/Q506,flower,,,France,FRA
http://www.wikidata.org/entity/Q88855727,Still life with fruit and flowers,http://www.wikidata.org/entity/Q506,flower,,,France,FRA
http://www.wikidata.org/entity/Q92388501,Poet's Window,http://www.wikidata.org/entity/Q107425,landscape,,1972-01-01T00:00:00Z,Finland,FIN
http://www.wikidata.org/entity/Q87148393,Ram with Tied Feet,http://www.wikidata.org/entity/Q2929800,ram,,1637-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q88855727,Still life with fruit and flowers,http://www.wikidata.org/entity/Q13202263,peach,,,France,FRA
http://www.wikidata.org/entity/Q84986895,The Marquis’s Lunch,http://www.wikidata.org/entity/Q613972,tray,,1913-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q92388501,Poet's Window,http://www.wikidata.org/entity/Q46335,typewriter,,1972-01-01T00:00:00Z,Finland,FIN
http://www.wikidata.org/entity/Q93162169,Q93162169,http://www.wikidata.org/entity/Q3314483,fruit,,1915-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q81723909,Still Life with Lobster on a White Tablecloth,http://www.wikidata.org/entity/Q11827352,Homarus,True Lobsters,1853-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q92389267,Memory of the Summer,http://www.wikidata.org/entity/Q191851,vase,,1971-01-01T00:00:00Z,Finland,FIN
http://www.wikidata.org/entity/Q83947036,Still Life with Flowers,http://www.wikidata.org/entity/Q506,flower,,1941-01-01T00:00:00Z,Finland,FIN
http://www.wikidata.org/entity/Q86856817,Still Life with Bottle and Fruit,http://www.wikidata.org/entity/Q3314483,fruit,,1909-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q87481082,Basket of Anemones,http://www.wikidata.org/entity/Q158286,Anemone,anemone,1924-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q87842504,Flower Piece,http://www.wikidata.org/entity/Q506,flower,,1847-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q92998737,Tulips in a Vase,http://www.wikidata.org/entity/Q30345409,tulip,,1639-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q92388501,Poet's Window,http://www.wikidata.org/entity/Q8074,cloud,,1972-01-01T00:00:00Z,Finland,FIN
http://www.wikidata.org/entity/Q90563978,"Quince, Cabbage, Melon, and Cucumber",http://www.wikidata.org/entity/Q2735883,cucumber,,1602-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q84243228,Still Life of Flowers and Fruit,http://www.wikidata.org/entity/Q3314483,fruit,,1640-01-01T00:00:00Z,Belgium,BEL
http://www.wikidata.org/entity/Q93448842,Q93448842,http://www.wikidata.org/entity/Q886167,flowering plant,,1850-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q92385479,Still Life,http://www.wikidata.org/entity/Q14748,table,,1958-01-01T00:00:00Z,Finland,FIN
http://www.wikidata.org/entity/Q92998737,Tulips in a Vase,http://www.wikidata.org/entity/Q191851,vase,,1639-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q87148389,Ram with Tied Feet,http://www.wikidata.org/entity/Q2929800,ram,,1637-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q92389267,Memory of the Summer,http://www.wikidata.org/entity/Q492,memory,,1971-01-01T00:00:00Z,Finland,FIN
http://www.wikidata.org/entity/Q84243374,Still Life with Flowers,http://www.wikidata.org/entity/Q506,flower,,,France,FRA
http://www.wikidata.org/entity/Q87842504,Flower Piece,http://www.wikidata.org/entity/Q506,flower,,1847-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q92389267,Memory of the Summer,http://www.wikidata.org/entity/Q622360,commode,,1971-01-01T00:00:00Z,Finland,FIN
http://www.wikidata.org/entity/Q92388501,Poet's Window,http://www.wikidata.org/entity/Q35473,window,,1972-01-01T00:00:00Z,Finland,FIN
http://www.wikidata.org/entity/Q88900285,Still Life with Fruit and Flowers,http://www.wikidata.org/entity/Q3314483,fruit,,1866-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q84243255,"Still Life with Flowers, Fruits, a Parrot and a Monkey",http://www.wikidata.org/entity/Q506,flower,,1695-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q91932367,Flower still-life,http://www.wikidata.org/entity/Q506,flower,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q90563978,"Quince, Cabbage, Melon, and Cucumber",http://www.wikidata.org/entity/Q14328596,cabbage,,1602-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q93511113,Q93511113,http://www.wikidata.org/entity/Q506,flower,,1810-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q88219096,"Still life - crabs, bottle etc",http://www.wikidata.org/entity/Q80228,bottle,,1867-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q84986895,The Marquis’s Lunch,http://www.wikidata.org/entity/Q3736439,duck,,1913-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q88855727,Still life with fruit and flowers,http://www.wikidata.org/entity/Q34687,Rosa,rose,,France,FRA
http://www.wikidata.org/entity/Q88218307,Fruit and Flowers,http://www.wikidata.org/entity/Q506,flower,,1866-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q84243181,Still Life with Fruit,http://www.wikidata.org/entity/Q3314483,fruit,,,France,FRA
http://www.wikidata.org/entity/Q93201260,Still Life,http://www.wikidata.org/entity/Q56854984,fructed,,1960-01-01T00:00:00Z,Finland,FIN
http://www.wikidata.org/entity/Q90563978,"Quince, Cabbage, Melon, and Cucumber",http://www.wikidata.org/entity/Q2751465,quince,,1602-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q93201260,Still Life,http://www.wikidata.org/entity/Q191851,vase,,1960-01-01T00:00:00Z,Finland,FIN
http://www.wikidata.org/entity/Q88855727,Still life with fruit and flowers,http://www.wikidata.org/entity/Q3314483,fruit,,,France,FRA
http://www.wikidata.org/entity/Q81265781,Fruit and a Goblet,http://www.wikidata.org/entity/Q210723,chalice,,1854-01-01T00:00:00Z,Germany,DEU
http://www.wikidata.org/entity/Q90735824,Flower Piece,http://www.wikidata.org/entity/Q506,flower,,,France,FRA
http://www.wikidata.org/entity/Q88218340,"Still Life, Plums, Melons and Peaches",http://www.wikidata.org/entity/Q3314483,fruit,,1642-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q81333603,Still life with flowers,http://www.wikidata.org/entity/Q506,flower,,1863-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q93201260,Still Life,http://www.wikidata.org/entity/Q80228,bottle,,1960-01-01T00:00:00Z,Finland,FIN
http://www.wikidata.org/entity/Q93448842,Q93448842,http://www.wikidata.org/entity/Q506,flower,,1850-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q87367868,Bouquet of Flowers in a Green Vase,http://www.wikidata.org/entity/Q506,flower,,1915-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q83937608,Still Life wiht Fruit,http://www.wikidata.org/entity/Q3314483,fruit,,1984-01-01T00:00:00Z,Finland,FIN
http://www.wikidata.org/entity/Q84986895,The Marquis’s Lunch,http://www.wikidata.org/entity/Q10978,grape,,1913-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q81643471,Still Life with Fruit (Brooklyn Museum),http://www.wikidata.org/entity/Q3314483,fruit,,1858-01-01T00:00:00Z,Germany,DEU
http://www.wikidata.org/entity/Q84986895,The Marquis’s Lunch,http://www.wikidata.org/entity/Q132397,pitcher,,1913-01-01T00:00:00Z,Spain,ESP
http://www.wikidata.org/entity/Q92389267,Memory of the Summer,http://www.wikidata.org/entity/Q1313,summer,,1971-01-01T00:00:00Z,Finland,FIN
